instant,dteday,temp,season,hum,windspeed
541,2012-06-24,0.743333,3,0.479167,0.145525
542,2012-06-25,0.715833,3,0.504167,0.300383
543,2012-06-26,0.630833,3,0.373333,0.347642
544,2012-06-27,0.6975,3,0.36,0.271775
545,2012-06-28,0.749167,3,0.4225,0.17165
546,2012-06-29,0.834167,3,0.48875,0.165417
547,2012-06-30,0.765,3,0.60125,0.161071
548,2012-07-01,0.815833,3,0.51875,0.168529
549,2012-07-02,0.781667,3,0.447083,0.195267
550,2012-07-03,0.780833,3,0.492083,0.126237
551,2012-07-04,0.789167,3,0.53875,0.13495
552,2012-07-05,0.8275,3,0.457917,0.194029
553,2012-07-06,0.828333,3,0.450833,0.146142
554,2012-07-07,0.861667,3,0.492083,0.163554
555,2012-07-08,0.8225,3,0.57375,0.125629
556,2012-07-09,0.710833,3,0.683333,0.180975
557,2012-07-10,0.720833,3,0.6675,0.151737
558,2012-07-11,0.716667,3,0.633333,0.151733
559,2012-07-12,0.715833,3,0.529583,0.146775
560,2012-07-13,0.731667,3,0.485833,0.08085
561,2012-07-14,0.703333,3,0.699167,0.143679
562,2012-07-15,0.745833,3,0.717917,0.166667
563,2012-07-16,0.763333,3,0.645,0.164187
564,2012-07-17,0.818333,3,0.505833,0.114429
565,2012-07-18,0.793333,3,0.577083,0.137442
566,2012-07-19,0.77,3,0.600417,0.165429
567,2012-07-20,0.665833,3,0.844167,0.208967
568,2012-07-21,0.595833,3,0.865417,0.2133
569,2012-07-22,0.6675,3,0.7625,0.0939208
570,2012-07-23,0.741667,3,0.694167,0.138683
571,2012-07-24,0.750833,3,0.655,0.211454
572,2012-07-25,0.724167,3,0.45,0.1648
573,2012-07-26,0.776667,3,0.596667,0.284813
574,2012-07-27,0.781667,3,0.594583,0.152992
575,2012-07-28,0.755833,3,0.613333,0.15735
576,2012-07-29,0.721667,3,0.62375,0.170396
577,2012-07-30,0.730833,3,0.66875,0.153617
578,2012-07-31,0.713333,3,0.704167,0.165425
579,2012-08-01,0.7175,3,0.6775,0.141179
580,2012-08-02,0.7525,3,0.659583,0.129354
581,2012-08-03,0.765833,3,0.6425,0.215792
582,2012-08-04,0.793333,3,0.613333,0.257458
583,2012-08-05,0.769167,3,0.6525,0.290421
584,2012-08-06,0.7525,3,0.654167,0.129354
585,2012-08-07,0.735833,3,0.70375,0.116908
586,2012-08-08,0.75,3,0.672917,0.1107
587,2012-08-09,0.755833,3,0.620417,0.1561
588,2012-08-10,0.715833,3,0.715833,0.238813
589,2012-08-11,0.6925,3,0.732917,0.206479
590,2012-08-12,0.700833,3,0.530417,0.122512
591,2012-08-13,0.720833,3,0.545417,0.136212
592,2012-08-14,0.726667,3,0.686667,0.169158
593,2012-08-15,0.706667,3,0.619583,0.169771
594,2012-08-16,0.719167,3,0.519167,0.141796
595,2012-08-17,0.723333,3,0.570833,0.231354
596,2012-08-18,0.678333,3,0.603333,0.177867
597,2012-08-19,0.635833,3,0.711667,0.08645
598,2012-08-20,0.635833,3,0.734167,0.129979
599,2012-08-21,0.649167,3,0.67375,0.0727708
600,2012-08-22,0.6675,3,0.677083,0.0702833
601,2012-08-23,0.695833,3,0.635833,0.0845958
602,2012-08-24,0.7025,3,0.615,0.0721458
603,2012-08-25,0.661667,3,0.712917,0.244408
604,2012-08-26,0.653333,3,0.845833,0.228858
605,2012-08-27,0.703333,3,0.730417,0.128733
606,2012-08-28,0.728333,3,0.62,0.190925
607,2012-08-29,0.685,3,0.552083,0.112562
608,2012-08-30,0.706667,3,0.590417,0.0771167
609,2012-08-31,0.764167,3,0.5875,0.168533
610,2012-09-01,0.753333,3,0.638333,0.113187
611,2012-09-02,0.696667,3,0.815,0.0640708
612,2012-09-03,0.7075,3,0.790833,0.151121
613,2012-09-04,0.725833,3,0.755,0.236321
614,2012-09-05,0.736667,3,0.74125,0.187808
615,2012-09-06,0.696667,3,0.810417,0.142421
616,2012-09-07,0.703333,3,0.73625,0.171646
617,2012-09-08,0.659167,3,0.799167,0.281104
618,2012-09-09,0.61,3,0.5475,0.224496
619,2012-09-10,0.583333,3,0.50375,0.258713
620,2012-09-11,0.5775,3,0.52,0.0920542
621,2012-09-12,0.599167,3,0.577083,0.131846
622,2012-09-13,0.6125,3,0.637083,0.0827208
623,2012-09-14,0.633333,3,0.6725,0.103863
624,2012-09-15,0.608333,3,0.501667,0.247521
625,2012-09-16,0.58,3,0.57,0.0901833
626,2012-09-17,0.580833,3,0.734583,0.151742
627,2012-09-18,0.623333,3,0.8725,0.357587
628,2012-09-19,0.5525,3,0.536667,0.215175
629,2012-09-20,0.546667,3,0.618333,0.118167
630,2012-09-21,0.599167,3,0.66875,0.154229
631,2012-09-22,0.65,3,0.646667,0.283583
632,2012-09-23,0.529167,4,0.467083,0.223258
633,2012-09-24,0.514167,4,0.492917,0.142404
634,2012-09-25,0.55,4,0.57,0.236321
635,2012-09-26,0.635,4,0.630833,0.2444
636,2012-09-27,0.65,4,0.690833,0.134342
637,2012-09-28,0.619167,4,0.69,0.164179
638,2012-09-29,0.5425,4,0.542917,0.227604
639,2012-09-30,0.526667,4,0.583333,0.134958
640,2012-10-01,0.520833,4,0.649167,0.0908042
641,2012-10-02,0.590833,4,0.871667,0.104475
642,2012-10-03,0.6575,4,0.79375,0.0665458
643,2012-10-04,0.6575,4,0.722917,0.117546
644,2012-10-05,0.615,4,0.6275,0.10635
645,2012-10-06,0.554167,4,0.664167,0.268025
646,2012-10-07,0.415833,4,0.708333,0.141162
647,2012-10-08,0.383333,4,0.709583,0.189679
648,2012-10-09,0.446667,4,0.761667,0.1903
649,2012-10-10,0.514167,4,0.630833,0.187821
650,2012-10-11,0.435,4,0.463333,0.181596
651,2012-10-12,0.4375,4,0.539167,0.235092
652,2012-10-13,0.393333,4,0.494583,0.146142
653,2012-10-14,0.521667,4,0.640417,0.278612
654,2012-10-15,0.561667,4,0.7075,0.296037
655,2012-10-16,0.468333,4,0.558333,0.182221
656,2012-10-17,0.455833,4,0.692917,0.101371
657,2012-10-18,0.5225,4,0.728333,0.236937
658,2012-10-19,0.563333,4,0.815,0.134954
659,2012-10-20,0.484167,4,0.572917,0.117537
660,2012-10-21,0.464167,4,0.51,0.166054
661,2012-10-22,0.4875,4,0.568333,0.0814833
662,2012-10-23,0.544167,4,0.641667,0.0945458
663,2012-10-24,0.5875,4,0.63625,0.0727792
664,2012-10-25,0.55,4,0.800417,0.124375
665,2012-10-26,0.545833,4,0.807083,0.132467
666,2012-10-27,0.53,4,0.72,0.235692
667,2012-10-28,0.4775,4,0.694583,0.398008
668,2012-10-29,0.44,4,0.88,0.3582
669,2012-10-30,0.318182,4,0.825455,0.213009
670,2012-10-31,0.3575,4,0.666667,0.166667
671,2012-11-01,0.365833,4,0.581667,0.157346
672,2012-11-02,0.355,4,0.522083,0.266175
673,2012-11-03,0.343333,4,0.49125,0.270529
674,2012-11-04,0.325833,4,0.532917,0.179108
675,2012-11-05,0.319167,4,0.494167,0.236325
676,2012-11-06,0.280833,4,0.567083,0.173513
677,2012-11-07,0.295833,4,0.5475,0.304108
678,2012-11-08,0.352174,4,0.333478,0.347835
679,2012-11-09,0.361667,4,0.540833,0.214558
680,2012-11-10,0.389167,4,0.645417,0.0578458
681,2012-11-11,0.420833,4,0.659167,0.1275
682,2012-11-12,0.485,4,0.741667,0.173517
683,2012-11-13,0.343333,4,0.662917,0.342046
684,2012-11-14,0.289167,4,0.552083,0.199625
685,2012-11-15,0.321667,4,0.620417,0.152987
686,2012-11-16,0.345,4,0.524583,0.171025
687,2012-11-17,0.325,4,0.545417,0.179729
688,2012-11-18,0.3425,4,0.692917,0.227612
689,2012-11-19,0.380833,4,0.623333,0.235067
690,2012-11-20,0.374167,4,0.685,0.082725
691,2012-11-21,0.353333,4,0.61375,0.103246
692,2012-11-22,0.34,4,0.580417,0.0528708
693,2012-11-23,0.368333,4,0.56875,0.148021
694,2012-11-24,0.278333,4,0.404583,0.376871
695,2012-11-25,0.245833,4,0.468333,0.1505
696,2012-11-26,0.313333,4,0.535417,0.04665
697,2012-11-27,0.291667,4,0.786667,0.237562
698,2012-11-28,0.296667,4,0.50625,0.210821
699,2012-11-29,0.28087,4,0.555652,0.115522
700,2012-11-30,0.298333,4,0.649583,0.0584708
701,2012-12-01,0.298333,4,0.806667,0.0597042
702,2012-12-02,0.3475,4,0.823333,0.124379
703,2012-12-03,0.4525,4,0.7675,0.0827208
704,2012-12-04,0.475833,4,0.73375,0.174129
705,2012-12-05,0.438333,4,0.485,0.324021
706,2012-12-06,0.255833,4,0.50875,0.174754
707,2012-12-07,0.320833,4,0.764167,0.1306
708,2012-12-08,0.381667,4,0.91125,0.101379
709,2012-12-09,0.384167,4,0.905417,0.157975
710,2012-12-10,0.435833,4,0.925,0.190308
711,2012-12-11,0.353333,4,0.596667,0.296037
712,2012-12-12,0.2975,4,0.538333,0.162937
713,2012-12-13,0.295833,4,0.485833,0.174129
714,2012-12-14,0.281667,4,0.642917,0.131229
715,2012-12-15,0.324167,4,0.650417,0.10635
716,2012-12-16,0.3625,4,0.83875,0.100742
717,2012-12-17,0.393333,4,0.907083,0.0982583
718,2012-12-18,0.410833,4,0.66625,0.221404
719,2012-12-19,0.3325,4,0.625417,0.184092
720,2012-12-20,0.33,4,0.667917,0.132463
721,2012-12-21,0.326667,1,0.556667,0.374383
722,2012-12-22,0.265833,1,0.44125,0.407346
723,2012-12-23,0.245833,1,0.515417,0.133083
724,2012-12-24,0.231304,1,0.791304,0.0772304
725,2012-12-25,0.291304,1,0.734783,0.168726
726,2012-12-26,0.243333,1,0.823333,0.316546
727,2012-12-27,0.254167,1,0.652917,0.350133
728,2012-12-28,0.253333,1,0.59,0.155471
729,2012-12-29,0.253333,1,0.752917,0.124383
730,2012-12-30,0.255833,1,0.483333,0.350754
731,2012-12-31,0.215833,1,0.5775,0.154846
